id,domain,store_url,outreach_fit,quality_type,source,source_rank,estimated_visitors_per_day,global_popularity_rank,ip,source_site_id,record_update_time
1,brainy-bits.com,https://brainy-bits.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,280,,,,,
2,geeks.com,https://geeks.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,281,,,,,
3,47brand.com,https://47brand.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,282,,,,,
4,boardgamebliss.com,https://boardgamebliss.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,283,,,,,
5,digizani.com,https://digizani.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,284,,,,,
6,purecycles.com,https://purecycles.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,285,,,,,
7,solesupremacy.com,https://solesupremacy.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,286,,,,,
8,bapeonline.com,https://bapeonline.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,287,,,,,
9,stirlingsports.co,https://stirlingsports.co,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,289,,,,,
10,hismileteeth.com,https://hismileteeth.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,290,,,,,
11,ipitaka.com,https://ipitaka.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,291,,,,,
12,howtocakeit.com,https://howtocakeit.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,292,,,,,
13,lagirlusa.com,https://lagirlusa.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,293,,,,,
14,discountwatchstore.com,https://discountwatchstore.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,294,,,,,
15,pixiefaire.com,https://pixiefaire.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,295,,,,,
16,dagnedover.com,https://dagnedover.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,296,,,,,
17,diamantsetcarats.com,https://diamantsetcarats.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,297,,,,,
18,sfbags.com,https://sfbags.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,298,,,,,
19,thebusinessfashion.co,https://thebusinessfashion.co,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,299,,,,,
20,sandcloudtowels.com,https://sandcloudtowels.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,300,,,,,
21,iheartraves.com,https://iheartraves.com,"Cleaner freelance/Fiverr outreach target; obvious enterprise, celebrity, national retail, and top-grossing DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,301,,,,,
