id,domain,store_url,outreach_fit,quality_type,source,source_rank,estimated_visitors_per_day,global_popularity_rank,ip,source_site_id,record_update_time
1,thecriticalslidesociety.com,https://thecriticalslidesociety.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,151,,,,,
2,zorrata.com,https://zorrata.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,152,,,,,
3,dropdead.co,https://dropdead.co,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,153,,,,,
4,flareaudio.com,https://flareaudio.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,154,,,,,
5,glowrecipe.com,https://glowrecipe.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,155,,,,,
6,eliquid.com,https://eliquid.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,156,,,,,
7,postergully.com,https://postergully.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,157,,,,,
8,chicagomusicexchange.com,https://chicagomusicexchange.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,158,,,,,
9,vincerocollective.com,https://vincerocollective.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,159,,,,,
10,18montrose.com,https://18montrose.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,160,,,,,
11,obeyclothing.com,https://obeyclothing.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,161,,,,,
12,bestself.co,https://bestself.co,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,162,,,,,
13,bollandbranch.com,https://bollandbranch.com,More realistic for freelance/Fiverr outreach; filtered to remove obvious enterprise and celebrity mega-brands,Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,163,,,,,
