id,domain,store_url,outreach_fit,quality_type,source,source_rank,estimated_visitors_per_day,global_popularity_rank,ip,source_site_id,record_update_time
1,syndromestore.com,https://syndromestore.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,340,,,,,
2,velasca.com,https://velasca.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,341,,,,,
3,jurawatches.co,https://jurawatches.co,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,342,,,,,
4,asmaraku.com,https://asmaraku.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,343,,,,,
5,sondors.com,https://sondors.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,344,,,,,
6,cellucor.com,https://cellucor.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,345,,,,,
7,mmasilver.com,https://mmasilver.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,346,,,,,
8,newburycomics.com,https://newburycomics.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,347,,,,,
9,jouercosmetics.com,https://jouercosmetics.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,348,,,,,
10,xgaming.com,https://xgaming.com,"Strict freelance/Fiverr outreach target; top-grossing, celebrity, enterprise, national retail, and famous DTC brands removed",Professional custom-domain Shopify store,Avada Top 500 Shopify Stores article,349,,,,,
